Season,Round,EventName,Driver,AvgQualiTime
2023,1,Bahrain Grand Prix,VER,107.982444
2023,1,Bahrain Grand Prix,PER,108.785444
2023,1,Bahrain Grand Prix,LEC,109.3064
2023,1,Bahrain Grand Prix,SAI,101.4991
2023,1,Bahrain Grand Prix,ALO,106.9578
2023,1,Bahrain Grand Prix,RUS,106.5589
2023,1,Bahrain Grand Prix,HAM,102.7708
2023,1,Bahrain Grand Prix,STR,102.791272
2023,1,Bahrain Grand Prix,OCO,104.808555
2023,1,Bahrain Grand Prix,HUL,103.1039
2023,1,Bahrain Grand Prix,NOR,104.41425
2023,1,Bahrain Grand Prix,BOT,107.541625
2023,1,Bahrain Grand Prix,ZHO,107.1355
2023,1,Bahrain Grand Prix,TSU,104.692555
2023,1,Bahrain Grand Prix,ALB,109.1628
2023,1,Bahrain Grand Prix,SAR,104.16775
2023,1,Bahrain Grand Prix,MAG,102.9635
2023,1,Bahrain Grand Prix,PIA,105.21625
2023,1,Bahrain Grand Prix,DEV,101.3246
2023,1,Bahrain Grand Prix,GAS,102.76775
2023,2,Saudi Arabian Grand Prix,PER,106.564363
2023,2,Saudi Arabian Grand Prix,LEC,103.976333
2023,2,Saudi Arabian Grand Prix,ALO,105.193769
2023,2,Saudi Arabian Grand Prix,RUS,108.400066
2023,2,Saudi Arabian Grand Prix,SAI,107.82175
2023,2,Saudi Arabian Grand Prix,STR,107.5742
2023,2,Saudi Arabian Grand Prix,OCO,104.821263
2023,2,Saudi Arabian Grand Prix,HAM,105.407333
2023,2,Saudi Arabian Grand Prix,PIA,104.023941
2023,2,Saudi Arabian Grand Prix,GAS,104.284222
2023,2,Saudi Arabian Grand Prix,HUL,106.830928
2023,2,Saudi Arabian Grand Prix,ZHO,106.963714
2023,2,Saudi Arabian Grand Prix,MAG,104.889818
2023,2,Saudi Arabian Grand Prix,BOT,107.466571
2023,2,Saudi Arabian Grand Prix,VER,122.255
2023,2,Saudi Arabian Grand Prix,TSU,110.279125
2023,2,Saudi Arabian Grand Prix,ALB,109.861857
2023,2,Saudi Arabian Grand Prix,DEV,114.46775
2023,2,Saudi Arabian Grand Prix,NOR,94.2345
2023,2,Saudi Arabian Grand Prix,SAR,111.78
2023,3,Australian Grand Prix,VER,94.188555
